first_name,last_name,email,phone,date_of_birth,annual_income,net_worth,onboarding_date,country_id,risk_profile_id
Kelsey,Preston,davenportpatrick@example.org,0313188603,1991-04-25,14598016,33038504,2021-03-07,21,4
Rebecca,Anderson,christopher66@example.com,5743561706,1988-01-22,14244080,191408968,2022-05-25,17,3
Christopher,Liu,lreynolds@example.com,5721237783,1997-01-23,18681803,191828103,2024-12-04,15,1
Franklin,Mann,carrie12@example.com,2048150075,1964-10-24,7700250,35780991,2020-08-12,21,3
Jessica,Woods,robersonbradley@example.net,6005438900,1966-08-18,6472143,110719274,2025-01-21,18,1
Melissa,Smith,kevin43@example.net,1405532348,1990-05-09,12126028,164691720,2022-08-14,16,3
Darren,Carney,lambertpaula@example.com,4939952432,1971-04-20,40574395,87827989,2019-08-07,14,4
Michael,Warner,slawson@example.com,0354845013,2002-10-11,5502209,74426054,2019-11-22,20,3
Elizabeth,Hawkins,patrickflores@example.com,4416383439,1990-06-05,16306576,256278596,2026-03-03,12,4
Bethany,Graves,nicholas92@example.com,4746517969,1984-09-10,20683516,295019369,2024-04-22,12,3
Breanna,Morrison,xcoleman@example.com,2361507534,1950-08-12,9999760,27399102,2021-08-07,14,4
Christina,Mayo,brendamiller@example.net,1969495085,1995-08-02,17738691,129788742,2023-05-12,14,3
Michael,Banks,karen68@example.net,8852159350,1962-12-20,6466836,53743026,2023-01-14,14,3
Shane,Jackson,hesssteven@example.org,0967671918,1982-09-04,7527431,132673749,2023-11-12,15,4
Robert,Silva,travis55@example.net,9198962831,1997-02-26,7941047,31440824,2024-09-25,19,1
Amber,Smith,jon80@example.net,5682830046,2003-01-13,10483185,30149352,2019-09-15,18,3
Cheryl,James,newmanlindsey@example.org,9718788460,1965-08-23,7098543,31358288,2020-12-17,16,3
Kenneth,Sanders,kevin11@example.org,2454070619,1992-11-10,8028989,127582381,2024-06-15,15,3
Mitchell,Rivers,mandysmith@example.org,5755529930,1990-09-09,11283618,206237592,2024-11-02,21,1
Randall,Fernandez,leonard94@example.net,2861806467,1995-09-21,13812710,86574070,2019-12-10,20,2
Kelly,Avila,heather94@example.com,3796698561,1952-12-14,9233657,57475171,2022-07-12,16,2
Shawn,Harmon,tedwards@example.com,7506220446,1987-03-30,9393632,49584665,2019-09-10,15,3
Justin,Bennett,bruce36@example.org,3601881107,1974-09-19,14229273,191762653,2021-07-03,16,3
Cynthia,Williams,maddenraymond@example.net,5966432634,1991-03-26,18358471,323771230,2021-04-14,15,1
Yolanda,Parker,xpalmer@example.com,3125221357,1993-10-30,11272287,26500230,2025-11-29,14,2
Matthew,Rice,owensjacob@example.com,0759769344,1964-08-11,22794756,183867002,2024-10-09,20,1
Robert,Spencer,daniel27@example.net,0547059261,1989-08-18,11253614,200004695,2020-02-20,19,1
Christine,Harris,fcooper@example.org,6409938595,1977-03-20,18395505,344305092,2023-06-23,16,3
Jennifer,Butler,hnguyen@example.net,2581241982,1967-02-07,13076736,221211579,2021-04-11,14,1
Mike,Mora,alexandra79@example.net,3860778533,1963-12-17,16305861,323650195,2022-03-30,14,4
Terri,Gallagher,shaneaguilar@example.net,6226211763,1981-12-05,3857415,57902044,2024-08-30,17,4
Joshua,Martinez,brandonlee@example.com,7919148638,1999-10-12,10160911,64032541,2021-07-12,16,3
Joseph,Neal,iharrington@example.net,4943230638,1978-05-26,9476547,160499862,2020-07-18,12,2
Gregory,Pham,xpeterson@example.net,2032971747,1957-10-03,23001963,98176431,2022-10-12,13,2
Michelle,Brooks,cryan@example.org,7915943807,1965-05-12,12673250,221615143,2022-07-27,18,3
Matthew,Anderson,patrickjones@example.org,2072589062,1990-04-29,16974055,124702604,2020-09-03,15,4
Michelle,Webster,heather94@example.net,8170522375,1960-01-21,18491057,87029599,2023-01-15,20,4
Levi,Smith,smckee@example.org,5742803291,1975-06-15,9362971,146237532,2023-11-11,21,4
Kenneth,Johnson,marywong@example.com,6561974776,1997-04-03,7759163,93332557,2024-01-16,21,2
Kimberly,Romero,brandonramos@example.com,1768816884,1995-09-19,10130310,94886041,2024-09-28,20,1
Carlos,Ross,louis56@example.com,5816388993,1958-09-20,41141527,355749978,2025-06-15,18,4
Susan,Olson,salasjose@example.com,1477913037,1988-11-28,12923259,156029813,2020-04-09,18,2
Devon,Smith,stephanie11@example.net,2249652903,1973-11-05,8767837,33310866,2026-05-16,19,1
Brent,Smith,davissamuel@example.com,4788775633,1979-08-15,32245282,603992417,2025-12-18,18,3
Robert,Simmons,phillip14@example.net,1272415650,1983-01-16,24886587,87417685,2020-03-13,16,1
David,Hoover,ryanteresa@example.org,3174003161,1966-08-14,25975862,405847913,2026-04-02,18,3
Edward,Carrillo,mburns@example.net,3039753179,1980-02-18,7595841,65227007,2025-08-14,21,1
Lori,George,amanda89@example.net,5859928848,1985-08-25,13916886,82534103,2023-03-26,15,3
Alexandra,Parker,ashleywilson@example.net,7830592723,2002-11-01,3807031,54904074,2020-09-04,15,1
Donna,Pham,thomasrachel@example.com,3207622039,1966-08-14,37259005,564861267,2021-12-06,14,2
Ashley,Green,mferguson@example.net,5268078503,1965-10-01,6764793,115866183,2022-02-11,19,1
Matthew,Fitzgerald,lewismark@example.net,3390379651,1972-12-20,50000000,204145962,2026-04-29,18,4
Jillian,Brock,joseph09@example.org,7565264836,1978-04-15,7312698,134586001,2021-01-25,18,2
Sarah,Bates,ashleyadams@example.org,0051529814,1984-11-13,11497979,64082776,2022-03-25,16,2
Maria,Hernandez,osalazar@example.org,1110719023,1983-12-05,10571884,61743334,2020-08-02,16,3
Jeffrey,Taylor,devon35@example.com,9743702907,2000-05-21,19343560,186260549,2021-01-02,18,3
Alexander,Rice,tracey15@example.net,2753825460,2001-03-23,11855905,156342359,2020-05-16,13,1
Jennifer,Gonzalez,burnsdennis@example.com,5867814847,1962-06-03,8346783,116432394,2024-02-09,17,1
Karen,Brown,stonepatricia@example.com,0428733045,1991-10-07,12357754,170476888,2020-05-06,16,4
Jennifer,Kim,elizabeth31@example.org,0620457063,1987-11-09,7695777,58105772,2022-03-07,21,3
Dawn,Wood,hwalsh@example.net,1377917073,1959-01-10,9638274,162360352,2025-05-13,14,1
Eric,Dawson,kwhite@example.com,2167644226,1963-01-21,33619221,278054446,2024-11-19,19,2
Michael,Bailey,vvega@example.net,4394917902,1961-08-27,7509269,64482224,2019-12-29,15,3
Gabrielle,Riley,morgan08@example.net,0877017597,1983-07-17,9595353,27141137,2025-01-01,14,1
Jennifer,Porter,vangkathleen@example.com,2169885765,1951-10-17,9155160,163854979,2026-07-05,15,4
Todd,Thomas,andrew32@example.net,9496103233,1965-07-08,7430362,88788170,2020-10-18,18,2
Ricky,Green,youngleah@example.org,0204376561,1995-10-21,11240542,181707037,2020-06-09,15,3
James,Jones,amanda76@example.net,1426710709,1965-02-02,30184417,347359272,2022-09-05,16,1
Valerie,Lindsey,robertpadilla@example.org,9626969812,1964-12-19,17318412,235749827,2026-07-06,21,2
Alexandra,Spencer,joanpetersen@example.com,2332103683,1992-06-20,11499374,229544524,2023-11-25,20,2
Jessica,Coleman,frysarah@example.com,3321737944,1970-11-26,5173401,21704401,2024-06-25,17,2
Kenneth,Fowler,hicksmalik@example.com,2826759750,1988-07-16,14245550,247937968,2023-02-08,21,2
John,Brown,jeanettejohnson@example.net,5079132090,1972-06-30,8098793,25428060,2020-06-10,21,4
Marissa,Chavez,clarkashley@example.org,2361216351,1974-06-02,15742273,279286748,2024-12-01,21,4
Justin,Bird,parksarah@example.net,1528704031,1994-02-18,8694982,18652134,2022-04-03,20,3
Matthew,Vaughn,bford@example.org,9715917127,1987-10-14,20815010,314336097,2024-03-30,20,1
Samuel,Cruz,walkersonya@example.com,2025859396,1950-12-30,17892304,252092195,2024-06-27,16,3
Michael,Ross,wrivers@example.org,1038924247,1986-07-31,15038266,147852114,2020-07-09,21,2
Gina,Anderson,mark83@example.org,3662018906,1966-08-11,17860963,174270268,2022-01-25,17,1
Natasha,Gentry,emartinez@example.org,2386807956,1966-07-26,7359658,110159037,2022-05-22,15,3
Dawn,James,sandrajohnson@example.org,1607736051,1991-07-11,24662998,289073677,2025-08-31,19,3
Andrew,Brown,istewart@example.com,0822592776,1986-10-13,11265386,187422247,2019-12-31,12,4
Suzanne,Wells,kevinedwards@example.com,1415586715,1983-12-08,25053130,164570747,2023-12-04,18,1
Jennifer,Gibbs,jortiz@example.net,5535554223,1950-10-05,5588039,22163300,2021-01-02,16,4
Jenny,Morales,mario34@example.org,1113623341,1992-07-03,7912856,27952705,2023-03-10,13,2
Donna,Soto,nmckinney@example.net,8603791620,1972-02-03,5162393,24771770,2019-11-04,15,4
Jason,Smith,david43@example.com,2742832451,1954-10-09,12545731,85123191,2021-06-21,16,1
Manuel,Wilson,uharrison@example.org,2434794097,1978-10-24,11677726,169900866,2022-07-29,15,1
Derek,Nguyen,nancysmith@example.org,6633051189,1956-06-22,4310730,32941566,2020-04-24,14,1
Ashley,Howell,edwardgreer@example.net,2167891292,1984-02-08,10216390,32528398,2019-08-24,20,1
Erica,Gonzales,jennifer05@example.com,5827368059,1964-04-07,3876875,10161769,2021-01-13,12,3
Eric,Atkinson,patriciaroberts@example.org,1273363055,1959-07-31,7223625,23345909,2021-10-02,15,3
Emily,Gardner,amberlozano@example.net,5033892175,1962-08-14,18983754,63699596,2020-11-19,15,2
Morgan,Jones,sboyd@example.net,9979597147,1955-06-17,15140302,80571785,2024-01-15,12,1
Jennifer,Guzman,jennifervalentine@example.net,0037483846,1974-03-08,50000000,805881465,2021-04-19,20,4
Jacqueline,Leach,ubeck@example.net,4233716590,1983-05-14,17119212,71764195,2023-01-24,15,4
Douglas,Henderson,larry26@example.com,6307043597,1984-10-21,30095211,114623290,2024-01-13,12,1
Sandra,Gonzalez,gclark@example.org,6091748163,1960-01-07,13305637,228046249,2023-07-28,14,1
Megan,Lewis,melissa21@example.com,6146797169,1955-03-06,16309659,147816117,2021-11-11,13,3
Caitlyn,Parker,martinjames@example.net,6617064820,1953-04-19,13990166,221776965,2020-05-29,21,2
Kathryn,Lopez,browneric@example.com,5189403073,1981-02-27,14179400,143673915,2023-07-26,12,3
Tiffany,Hunter,tpham@example.org,3738740850,1988-12-01,15460957,272618720,2024-07-31,15,3
Amanda,Anderson,taylorrebecca@example.org,8955977797,1976-12-05,18033328,125880679,2024-10-23,12,3
Matthew,Edwards,qcarlson@example.net,2670858371,2000-10-22,9281677,68087375,2026-02-07,15,3
Michelle,Jones,craig20@example.org,1617969128,1967-02-18,13220051,257556801,2020-08-14,13,3
Nathan,Alexander,sherri31@example.net,3026089909,2001-07-04,17021324,149579352,2025-05-04,19,4
Tommy,Wood,cindy53@example.net,4171210367,1952-08-21,15803436,120664833,2023-12-30,15,1
Frank,Ortega,icarey@example.com,3767921212,1992-04-23,6386881,69708802,2023-03-17,14,3
Geoffrey,Lawson,hansenandrew@example.net,2279001696,1974-12-12,7042933,92216841,2026-05-27,14,2
William,Burns,qbradshaw@example.com,2289827608,1996-03-03,17108570,149841093,2021-09-05,18,2
Mary,Mendoza,williamspears@example.org,3362564999,1994-06-22,14529885,200247312,2021-07-11,18,2
Michael,Jones,bestrachel@example.com,3119032945,1997-11-08,12134054,42658507,2021-08-26,17,4
Frank,Lewis,patriciamoore@example.net,2648532992,1959-07-31,10823794,121306694,2019-09-13,21,3
Spencer,Gonzalez,rushtheresa@example.org,0470035498,1991-02-23,10380515,38365744,2024-05-19,14,3
William,Clark,wesley30@example.net,9669108370,1993-07-27,11949588,32380462,2026-06-06,21,2
Matthew,Perez,cardenasveronica@example.com,9230088482,1982-04-22,9190378,83525175,2023-08-25,19,3
Caleb,Brooks,leeheather@example.org,0615911513,1995-08-26,7418241,112462992,2023-09-17,21,1
Kimberly,Wise,matthew33@example.org,4940138382,1988-02-11,13133263,38076163,2022-10-08,19,4
Eric,Miller,brandijohnson@example.com,3751524059,1975-08-23,16098290,215390889,2020-08-10,14,1
Kelli,Nguyen,morrismichael@example.org,3629754898,1981-12-04,10691962,76666284,2022-04-17,17,2
Scott,Dudley,joshuajones@example.com,7331363869,1962-01-01,6869384,53982260,2023-02-16,20,1
Brandi,Barton,promero@example.net,1449844575,1953-12-05,10691469,200271947,2024-06-14,15,4
Albert,Young,ljackson@example.org,2668796477,1982-12-31,23336621,245875472,2025-09-08,14,3
Joshua,Jones,hray@example.net,3256497473,1987-08-29,11817648,120301490,2023-09-21,16,4
Daniel,Montgomery,tylergriffith@example.com,6067236118,1966-11-24,11716056,48630299,2023-03-21,17,1
Anna,Taylor,taylorprice@example.com,6496362246,1958-12-04,9522077,61395554,2020-02-20,12,3
John,Hampton,charles48@example.com,5551395038,1957-09-10,13131161,162467946,2025-12-10,21,4
Daisy,Quinn,owilson@example.net,0101587008,1999-02-16,5517901,92991682,2020-11-16,12,4
Joan,Kim,alicia20@example.com,2981149733,1988-04-04,22067535,318977363,2022-01-26,19,2
Vanessa,Hickman,durhamjoseph@example.net,8457931613,1989-10-19,4854871,62776217,2024-02-10,13,2
Angela,Macias,castanedakendra@example.org,8666758428,1990-03-05,11339320,121100987,2020-08-09,12,2
Dalton,Walker,anthony34@example.net,1901194111,1986-01-08,18076931,148793168,2024-06-23,18,1
Robert,Mullins,cpatel@example.org,1690317105,1963-07-17,17301680,207851468,2026-06-04,18,2
Cynthia,Dudley,lynn74@example.net,8811924139,1983-05-15,6236244,40427412,2023-06-15,14,2
Kimberly,Stephenson,hgriffin@example.com,8007502185,1958-05-28,18622223,50293850,2024-03-27,21,4
Christina,Barron,gjohnston@example.net,3019884261,1984-07-24,6013491,114102786,2020-04-03,14,1
Laura,Fisher,brianjones@example.org,7279397514,1997-08-03,35434372,174068576,2025-04-22,20,2
Andre,Nielsen,eric38@example.com,4543509516,1959-06-10,6102923,35296236,2024-03-17,18,3
Courtney,Howell,plucero@example.com,0709001009,1987-12-19,7272801,132341082,2019-07-29,18,3
Desiree,Allen,michaelmaria@example.net,8529599337,1997-10-09,10467826,114263283,2024-08-17,16,4
John,Daniel,ibaker@example.net,6769229096,1989-07-28,6645786,35529124,2025-01-23,21,3
Kelly,Brock,westgeorge@example.net,6580437618,1950-11-06,10343540,127769493,2022-10-16,12,1
Elizabeth,Rivera,jeffgarcia@example.com,1759270515,1982-05-28,4620458,90703833,2024-08-03,13,3
Jason,Rasmussen,swilliams@example.com,0549903709,1994-12-22,12859675,82987275,2023-02-01,13,1
Sheila,Nunez,lisa92@example.org,3277660941,1990-10-02,19652143,140901830,2022-03-25,19,1
Kevin,Cunningham,crystal66@example.net,2403327886,1952-11-07,16373743,226650199,2019-08-11,18,3
Keith,Allen,ellenevans@example.net,2420447690,1987-04-30,11386809,56257604,2025-08-27,13,4
Cynthia,Smith,donaldparker@example.org,9713939332,1994-04-28,13936065,209866383,2021-08-23,17,1
Joanne,Faulkner,sweeneygrace@example.net,6932795036,1954-09-23,14121656,109371989,2025-03-26,12,1
Paul,Gardner,wtorres@example.net,0149679158,1996-05-27,29042095,397842467,2023-05-09,12,2
Julie,Marquez,wesleyramirez@example.org,9489433056,1978-08-23,8087933,130130083,2023-10-08,13,3
Eric,Baker,andrea82@example.org,8291269065,1958-09-18,22911554,407571395,2023-08-23,15,4
David,Rice,christian21@example.org,0451756993,1955-01-06,24322388,197468948,2022-07-30,19,1
Michele,Barnett,larry26@example.org,3322039076,2003-03-10,20288416,331043959,2023-11-07,20,2
Justin,Perez,charles98@example.com,6627672485,2001-06-08,6350453,87025868,2020-10-30,19,3
Grace,Brown,arnoldjames@example.net,1391331031,1969-11-09,9445375,79810490,2023-02-11,19,1
Eric,Martinez,shannonschmidt@example.com,8943841144,1987-09-28,13583421,116584469,2024-12-25,16,2
Charles,Adams,edwardsdaniel@example.net,9847227464,1954-01-10,4966564,70375610,2025-08-15,20,4
Nicholas,Bowers,zacharygreen@example.org,7629336229,1997-03-14,29420642,519165192,2022-09-04,15,4
Jacob,Cherry,randyallen@example.org,0364665545,2004-04-18,11442500,82418929,2026-01-08,13,1
Samuel,Sullivan,mmeadows@example.net,1258917809,1956-09-01,15412010,154860426,2022-09-29,20,2
Curtis,Patrick,bbaker@example.org,3888655902,1961-12-03,6273858,76282668,2026-05-12,21,1
Dustin,Murray,waltermoran@example.org,7477596233,2004-06-15,5693516,53786591,2019-08-05,13,1
Alicia,Moore,jerome89@example.com,5294542595,1971-07-08,10890568,159221297,2023-06-01,19,1
Erik,Walters,briggsdavid@example.org,9641506935,1952-05-07,16289405,163179118,2022-12-31,13,1
Hector,Madden,nhanna@example.com,4548999981,1997-09-24,26599162,454145799,2024-01-17,19,3
Adam,Taylor,davisalbert@example.com,0867204429,1974-06-11,7562795,46097732,2022-10-31,16,3
Crystal,Cobb,jeffrey20@example.com,9123933919,1954-12-28,21355919,362037789,2024-06-01,21,1
April,Smith,richard78@example.net,4481377342,1973-07-03,2939750,31718211,2021-08-09,12,1
Sarah,Hernandez,jamesmcdaniel@example.org,7347344751,1985-08-08,6444946,81343071,2021-04-05,21,4
Jennifer,Anderson,madison47@example.org,6725392149,1954-02-23,25389083,182726916,2025-09-21,12,4
Miguel,Stanley,robertflynn@example.net,0317765145,1966-10-02,10401493,68724182,2021-03-27,13,1
Jeffrey,Rios,vanessa72@example.net,1695076643,1972-09-02,50000000,665688913,2026-07-11,13,1
Tammy,Anderson,murraycarla@example.org,0773534247,1959-07-25,5132023,64226631,2020-04-16,14,3
Daniel,Roberts,bgonzalez@example.net,7076885417,1984-03-12,6677041,104233190,2021-04-29,20,2
Barry,Brown,jason56@example.org,1866078056,1992-06-05,10969350,38083615,2022-11-25,17,4
Brian,Foley,theodore45@example.com,7228315147,1998-12-28,16655612,139361650,2025-04-21,14,1
David,Santiago,morrissheila@example.com,0716200175,1981-11-13,8778762,83873140,2019-12-15,16,4
Nicholas,Mendoza,bobby03@example.net,6971430545,1977-06-12,28056181,271606900,2023-09-22,14,2
Amy,Miller,kimrachel@example.org,1661234340,1997-05-06,10815815,208815241,2025-10-06,21,2
Micheal,Bridges,nelsonheidi@example.net,4420201227,1976-09-05,22330260,107273397,2020-02-05,14,2
Carol,Garcia,jamesrobinson@example.net,3749924611,1959-01-19,9746133,171528290,2019-12-27,21,2
Crystal,Anderson,ihouston@example.net,6498062711,1951-11-10,10309940,98087713,2022-11-23,21,4
Jesus,Owens,elizabeth19@example.org,1467961285,1969-12-02,7446475,40779298,2025-09-08,17,4
Andrew,Thornton,sjones@example.org,7662294094,1958-08-29,4768970,25622791,2021-06-29,18,4
Rachel,Solomon,jacob33@example.org,0314313215,1965-03-07,30989245,319854468,2021-04-01,13,3
Nancy,Martin,elizabeth50@example.org,2141711242,1999-04-15,13724399,238467939,2024-05-26,17,1
Madison,Wells,chaneydana@example.net,1764862314,1972-03-12,14981454,260544602,2023-05-22,17,1
Kevin,Cook,evansadam@example.net,5421172693,1977-11-14,9742431,192490301,2026-03-07,14,1
Courtney,Cross,chad93@example.net,5197511147,1990-12-15,16707674,84838331,2020-08-16,17,2
Brian,Smith,whiteyvonne@example.com,0169351756,1992-06-05,15150805,211680254,2021-09-12,13,2
Kathryn,Anderson,matthew37@example.net,0957817965,2004-04-18,15540859,90945449,2023-07-07,16,3
Kim,Daugherty,hansonlucas@example.org,7953220488,1980-11-01,24581666,474212059,2021-05-22,19,2
Mark,Jones,rachel22@example.com,7357964994,1953-12-18,17735952,319549179,2020-02-11,16,4
Joel,Rodgers,cheryl23@example.com,4533225775,1954-11-29,12083266,214951775,2022-04-03,20,4
Cody,Grant,foxalicia@example.com,2188257551,1955-01-26,29526893,365130843,2023-05-24,15,4
John,Orozco,brenda27@example.org,4797342845,1957-03-19,5256187,31470421,2022-03-08,19,4
Marie,Nguyen,matthewskatelyn@example.org,8670944411,1960-12-20,10793522,49433905,2020-08-03,21,3
James,Ramos,parktina@example.net,3442634241,1996-01-24,34559714,331889160,2022-01-16,18,2
Scott,Owens,vasquezkenneth@example.net,1102539168,1968-09-10,14174164,165976364,2022-10-23,18,4
Corey,Phillips,xdawson@example.net,9748456084,2003-11-20,13512420,226850379,2021-04-16,13,2
Brianna,Morgan,kathysmith@example.net,7708397441,1987-03-15,20091972,197292810,2024-01-28,19,3
Morgan,Gray,amy74@example.com,0023889358,1977-11-29,5107107,63649009,2020-03-13,15,4
Samuel,Gonzales,michaelrice@example.net,8720503508,1986-01-21,9923402,62513705,2024-04-17,13,1
